point_id,valley,X,Y,data_type,verific_day,outcome,offset,offset_req,rel_elev,dist_trash,lc_30m_imperv
159,4,561427.7,8570971,plates,1,0,5,0,22.571651459999998,131.4628951,0.893465909
184,4,561454.3,8570928,plates,1,0,5,0,6,129.4575436,0.40960452
189,4,561465.4,8570886,plates,1,0,5,0,6,87.74865082,0.384180791
200,4,561429.9,8570941,plates,1,3,4,0,19.835796360000003,152.7648849,0.642450142
224,4,561438.5,8570896,plates,1,0,3,0,12.141742710000003,111.8063295,0.54084507
237,4,561454.2,8570954,plates,1,0,5,0,5.89123154,130.3635087,0.563380282
245,4,561438.7,8570893,plates,1,0,3,0,12.645187380000003,109.4576194,0.538352273
247,4,561463.4,8570984,plates,1,3,5,0,6,99.39467932,0.761299435
252,4,561442.3,8570986,plates,1,0,4,0,12.825023649999999,109.564835,0.905367232
267,4,561452.1,8570924,plates,1,2,5,0,6.887823109999999,126.9218159,0.418539326
272,4,561439.7,8570872,plates,1,0,5,0,15.743206020000002,94.45766491,0.564971751
277,4,561469.8,8570941,plates,1,0,5,0,4.970489499999999,135.3675891,0.441595442
291,4,561437.1,8570916,plates,1,0,5,0,13.516551970000002,128.1021669,0.532670455
297,4,561444,8570968,plates,1,0,5,0,9.45893478,123.0677869,0.727653631
310,4,561437,8570874,plates,1,0,3,0,17.44250488,97.83667224,0.613180516
311,4,561458.1,8570901,plates,1,2,5,0,6,104.2229464,0.418803419
322,4,561435.6,8570973,plates,1,0,5,0,16.089023589999996,124.2365027,0.857142857
337,4,561468.4,8570919,plates,1,0,5,0,5,115.406517,0.424285714
342,4,561474.6,8570965,plates,1,0,3,0,4.54188156,112.6197607,0.675714286
159,4,561427.7,8570971,plates,2,0,5,0,22.571651459999998,131.4628951,0.893465909
184,4,561454.3,8570928,plates,2,1,5,0,6,129.4575436,0.40960452
189,4,561465.4,8570886,plates,2,0,5,0,6,87.74865082,0.384180791
200,4,561429.9,8570941,plates,2,2,3,0,19.835796360000003,152.7648849,0.642450142
224,4,561438.5,8570896,plates,2,0,3,0,12.141742710000003,111.8063295,0.54084507
245,4,561438.7,8570893,plates,2,0,5,0,12.645187380000003,109.4576194,0.538352273
247,4,561463.4,8570984,plates,2,0,5,0,6,99.39467932,0.761299435
252,4,561442.3,8570986,plates,2,0,5,0,12.825023649999999,109.564835,0.905367232
267,4,561452.1,8570924,plates,2,2,5,0,6.887823109999999,126.9218159,0.418539326
272,4,561439.7,8570872,plates,2,0,5,0,15.743206020000002,94.45766491,0.564971751
277,4,561469.8,8570941,plates,2,0,4,0,4.970489499999999,135.3675891,0.441595442
291,4,561437.1,8570916,plates,2,1,5,0,13.516551970000002,128.1021669,0.532670455
297,4,561444,8570968,plates,2,0,3,0,9.45893478,123.0677869,0.727653631
310,4,561437,8570874,plates,2,0,5,0,17.44250488,97.83667224,0.613180516
311,4,561458.1,8570901,plates,2,1,5,0,6,104.2229464,0.418803419
313,4,561483.2,8570858,plates,2,1,3,0,6,54.88870085,0.473087819
322,4,561435.6,8570973,plates,2,0,5,0,16.089023589999996,124.2365027,0.857142857
337,4,561468.4,8570919,plates,2,0,5,0,5,115.406517,0.424285714
342,4,561474.6,8570965,plates,2,0,3,0,4.54188156,112.6197607,0.675714286
171,4,561585,8571072,plates,1,1,5,0,15.242076869999998,77.01537822,0.498567335
182,4,561531.8,8571047,plates,1,0,5,0,9.179264070000002,34.6176897,0.35042735
190,4,561543.7,8571062,plates,1,0,5,0,13.9908371,37.95894873,0.436440678
212,4,561632.8,8571030,plates,1,0,4,0,9.283390050000001,130.8771137,0.338526912
217,4,561676.3,8571076,plates,1,0,5,0,1,167.2357932,0.031073446
234,4,561625.9,8571034,plates,1,2,2,0,10.043846129999999,123.1244014,0.41011236
262,4,561546.8,8571084,plates,1,1,5,0,8.4982872,40.01250804,0.30878187
282,4,561605.1,8571066,plates,1,0,5,0,7.924762730000001,96.36191295,0.427556818
303,4,561641.5,8571017,plates,1,2,5,0,13.37794495,143.8668566,0.357142857
312,4,561517.7,8571060,plates,1,1,5,0,4.1611766800000005,15.03826837,0.38559322
330,4,561551.3,8571036,plates,1,0,5,0,22.553085330000002,59.21234099,0.52407932
340,4,561678.2,8571078,plates,1,0,5,0,1,169.1923168,0.038028169
357,4,561556.9,8571052,plates,1,0,4,0,20.313358309999998,54.97153747,0.524147727
171,4,561585,8571072,plates,2,0,5,0,15.242076869999998,77.01537822,0.498567335
